ID,OSAVI_mean,ATSAVI_mean,TVI_mean,CRI_2_mean,R_MCARI_MTVI2_mean,blue_mean,NPCI_mean,R_TCARI_OSAVI_mean,RERI_mean,rede_mean,MSAVI_mean,SAVI_mean,ARI_2_mean,TCARI_mean,TSAVI_mean,red_mean,NDRE_mean,RDVI_mean,NGRDI_mean,DVI_mean,NEXG_mean,MCARI_mean,RVI_1_mean,GNDVI_mean,RVI_2_mean,SPVI_mean,RECI_mean,NDWI_mean,EVI_mean,PSRI_mean,RGVI_mean,ENDVI_mean,EVI_2_mean,MTCI_mean,DATT_mean,GCI_mean,SAVI_2_mean,MCARI_2_mean,MTVI_2_mean,NDCI_mean,MCARI_1_mean,MTVI_1_mean,green_mean,NDVI_mean,SIPI_mean,SRPI_mean,nir_mean,HEALTH_STA
267,0.37224203,,21.085056,2.2476854,8.576453,0.13210696,0.135803,1.2156197,0.4283502,0.3598083,0.38944247,0.39485377,1.0092114,0.36928383,0.81147206,0.17463171,0.107855484,0.35207495,0.16412106,0.31326386,0.26431742,0.5462987,2.9005861,0.35975042,2.1973062,0.4096546,0.24873377,0.051206805,0.20935507,0.26151475,0.887252,0.4048938,0.40959126,inf,inf,1.249903,12.732199,1.5860835,1.5860835,0.26994658,0.54133403,0.54133403,0.20584191,0.46490243,0.48418227,0.78799915,0.44785175,None
167,0.38784945,,23.525738,1.9127421,1.8888888,0.15031628,0.10659517,1.3368312,0.4258793,0.3884642,0.41443646,0.41813734,0.97008514,0.40496618,0.80726016,0.18131451,0.11575103,0.38065344,0.18092193,0.3450476,0.26832873,0.60300696,3.1013265,0.35564297,2.2024627,0.44600412,0.26756445,0.037492305,0.2385624,0.2364943,0.82255673,0.39622667,0.43840852,inf,inf,1.2229958,11.822376,1.9224659,1.9224659,0.25828525,0.6067181,0.6067181,0.22681783,0.47769248,0.48793784,0.8675435,0.4958461,AVARAGE
10,0.2737453,,17.831827,1.1036017,1.4599369,0.22384879,0.0762821,inf,0.38582477,0.38882875,0.2887412,0.29517856,0.49998578,0.4098656,0.8001241,0.2429607,0.06970246,0.2550005,0.16253431,0.24355166,0.2093073,0.4196075,2.0239415,0.21779495,1.5538754,0.28880543,0.15462512,0.052044652,0.20737192,0.2054212,0.88275695,0.24227417,0.30030045,inf,inf,0.6122773,4.2441654,1.6159314,1.6159314,0.1702696,0.4759652,0.4759652,0.28303036,0.33697748,0.32107443,0.9556735,0.434928,AVARAGE
61,0.3915413,,21.842693,2.5129535,3.563225,0.14518389,0.086392485,1.1457064,0.47995552,0.3842067,0.40682858,0.41175905,1.1153964,0.37967283,0.8030246,0.15875606,0.09666299,0.38198885,0.18676326,0.3210633,0.25638196,0.64921063,3.2918081,0.37353584,2.3098977,0.41004837,0.21933222,0.043648668,0.24232134,0.16342326,0.7871859,0.38788837,0.42764488,inf,inf,1.321667,23.403954,1.5318245,1.5318245,0.29646635,0.5632502,0.5632502,0.2083754,0.49318528,0.49724677,0.9534287,0.46507505,None
259,0.44733754,,25.167664,3.1876454,2.6751106,0.11054509,0.12118513,inf,0.4788931,0.3687574,0.47037277,0.47206178,1.3808181,0.36206958,0.8421131,0.13625425,0.13798861,0.43300354,0.21085666,0.3736068,0.34115204,0.7665813,3.9618485,0.42906603,2.6566691,0.48183727,0.33258995,0.056862187,0.24985643,0.25830308,0.77634174,0.4891121,0.49847403,inf,inf,1.6900018,57.76613,1.9762186,1.9762186,0.32249844,0.644987,0.644987,0.18930796,0.56325495,0.5765627,0.8391989,0.48455086,None
300,0.45052162,,23.882256,3.4688263,3.5164104,0.10725486,0.10573508,0.8537053,0.4872894,0.35883725,0.46951205,0.46994442,1.5375084,0.32109806,0.8383976,0.12523307,0.13068973,0.4366088,0.20529579,0.35890865,0.3158302,0.7754046,4.2403793,0.45140764,2.8282268,0.47113198,0.3078889,0.054811604,0.2500442,0.21258277,0.7661527,0.48288482,0.4947547,inf,inf,1.8359375,910.0,1.5113614,1.5113614,0.3483997,0.60811573,0.60811573,0.17192777,0.5717656,0.5852741,0.8938991,0.47036847,HEALTHY
97,0.41752136,,24.187536,2.340024,2.3115933,0.15159452,0.08350673,inf,0.46156082,0.37812415,0.44029346,0.4432382,1.1079422,0.39855728,0.81983256,0.15473689,0.117811486,0.40725902,0.21099742,0.35367298,0.2697334,0.67795414,3.5331001,0.3807261,2.3365424,0.44564956,0.27402565,0.0635599,0.27826652,0.24098086,0.76295537,0.3868232,0.465432,inf,inf,1.3745239,21.23838,1.821915,1.821915,0.28201124,0.62540585,0.62540585,0.21235135,0.5218364,0.5070157,1.0237259,0.48346585,AVARAGE
71,0.37812638,,22.78911,1.978318,4.3432236,0.1676839,0.078202434,inf,0.4956119,0.43322852,0.40160766,0.40563852,0.9880541,0.42049214,0.805843,0.18047833,0.07065677,0.37943116,0.1925814,0.3302192,0.25814962,0.7272564,3.1466877,0.33745435,2.1196523,0.4120965,0.1560349,0.041692063,0.25100595,0.13188595,0.7606163,0.3663705,0.42357597,inf,inf,1.1320095,13.165383,1.8368845,1.8368845,0.2823045,0.5922404,0.5922404,0.24048552,0.4674395,0.4718913,0.97004604,0.49692497,AVARAGE
5,0.38263598,,21.464996,2.3568296,2.0724478,0.14085217,0.1055606,inf,0.44099525,0.3544136,0.3971498,0.40237045,1.0375319,0.35902506,0.8088562,0.16184707,0.112059,0.36072597,0.18837503,0.31472945,0.26008892,0.59756833,3.1708438,0.35961646,2.2312083,0.40452918,0.25940815,0.051185094,0.23340413,0.20867643,0.8234589,0.37852463,0.418798,inf,inf,1.270548,19.964338,1.7631112,1.7631112,0.27114412,0.5542619,0.5542619,0.20405617,0.48240757,0.4771855,0.91675955,0.44521612,AVARAGE
14,0.37713775,,20.88636,2.3508458,3.0152366,0.16362193,0.09448775,inf,0.49851677,0.37105596,0.3892565,0.39441177,1.0245508,0.3593125,0.81220144,0.17278476,0.07674056,0.3450114,0.19668052,0.30380464,0.23492168,0.6830986,3.0290945,0.34289798,2.0865824,0.38564542,0.17094779,0.07267619,0.2519012,0.24473576,0.8301577,0.33135703,0.40946853,inf,inf,1.1991905,20.650736,1.5374653,1.5374653,0.28284723,0.54131496,0.54131496,0.2096897,0.47747844,0.45000228,1.0244144,0.42390707,AVARAGE
260,0.46166366,,25.453207,3.508404,3.0981271,0.11564281,0.105727844,0.9149623,0.48115826,0.3705844,0.48820174,0.48762894,1.6161017,0.33076578,0.8443479,0.13051455,0.1395912,0.44932124,0.20047465,0.3841989,0.2961917,0.8115658,4.274788,0.46207178,2.9237669,0.5094081,0.3328906,0.047890842,0.27003217,0.23789181,0.7924654,0.47168678,0.5172647,inf,inf,1.9339511,37.84597,1.82936,1.82936,0.35456192,0.6463417,0.6463417,0.17503071,0.5796601,0.5801151,0.9297738,0.49412903,None
185,0.37341478,,21.313425,2.1401477,5.5968585,0.1339378,0.12602048,1.2579257,0.422827,0.34876242,0.38901708,0.3946876,0.9432034,0.37355438,0.8056037,0.16996361,0.11301515,0.34964362,0.18035136,0.31179434,0.28021297,0.53802013,2.9232059,0.34304312,2.1289713,0.3978023,0.26221773,0.042344987,0.21437107,0.29157376,0.859265,0.39838865,0.4093344,inf,inf,1.176427,16.744072,1.6354407,1.6354407,0.25217834,0.55093604,0.55093604,0.20952965,0.46840334,0.47798705,0.82046866,0.44108787,AVARAGE
163,0.3906845,,22.169666,2.385534,2.3450372,0.13417543,0.101890974,1.2851729,0.43395525,0.35617158,0.40737748,0.41259187,1.0489578,0.37023252,0.80473685,0.16125199,0.12301961,0.37184218,0.18701248,0.32640767,0.27791446,0.59082806,3.1945348,0.37114918,2.2959735,0.42142457,0.28934404,0.045788214,0.22838633,0.24700183,0.8408042,0.40668297,0.4302797,inf,inf,1.3218265,23.792747,1.8625388,1.8625388,0.27060854,0.5705089,0.5705089,0.20280312,0.49094802,0.49970627,0.8663463,0.4569791,AVARAGE
281,0.43604758,,23.852024,2.9952724,2.3845506,0.13790914,0.11122774,1.0072713,0.46181428,0.34934366,0.45701328,0.45809522,1.3858545,0.33108816,0.82930535,0.14425135,0.13448614,0.4105622,0.20616764,0.35613656,0.25536203,0.72408813,3.8617911,0.41677698,2.613477,0.4656787,0.3216566,0.051020097,0.2815395,0.31196868,0.82231534,0.39704654,0.48282024,inf,inf,1.6640756,37.118378,1.6769905,1.6769905,0.3169981,0.6099983,0.6099983,0.18280342,0.5499566,0.5195544,1.0409664,0.46067363,AVARAGE
278,0.52059776,,28.310074,4.0924387,3.7022073,0.101712845,0.11214646,inf,0.52070045,0.35890645,0.55383253,0.54485685,1.8855319,0.31368348,0.9046603,0.10051478,0.16049924,0.50004786,0.28051746,0.4201868,0.3808457,1.0865865,5.658247,0.48719662,3.1952875,0.54168534,0.39681107,0.07558468,0.31173676,0.3177654,0.66427803,0.5187357,0.5849454,inf,inf,2.241998,77.1043,1.7843487,1.7843487,0.37273303,0.725383,0.725383,0.16550404,0.65971303,0.6368172,1.0978826,0.49772456,AVARAGE
246,0.41040948,,23.887798,2.5873241,3.9257677,0.13703181,0.10447429,1.1749375,0.45347056,0.39288855,0.43720043,0.44008523,1.2864602,0.36527142,0.8123218,0.16514447,0.12971404,0.41006717,0.17696966,0.3593514,0.26627937,0.68158257,3.4862382,0.41040874,2.5544076,0.47527504,0.30877236,0.0419679,0.24398124,0.19048566,0.8326218,0.43044198,0.4634542,inf,inf,1.5636991,18.613104,1.9382259,1.9382259,0.31176224,0.60959685,0.60959685,0.2046879,0.50813824,0.53040254,0.86748046,0.5076555,AVARAGE
151,0.41620573,,21.291903,3.7280822,4.5397463,0.11928195,0.086527124,0.9246213,0.45394555,0.32881257,0.42139632,0.4265664,1.4143555,0.32193574,0.8267914,0.1294931,0.13665126,0.3974068,0.18878376,0.31771392,0.2590068,0.59079623,3.7684827,0.43051064,2.7053566,0.41437885,0.32445797,0.04766467,0.2389701,0.18521538,0.80025697,0.42530072,0.442334,inf,inf,1.7187343,54.020905,1.4457281,1.4457281,0.32218534,0.5444277,0.5444277,0.17229147,0.53924704,0.5415649,0.9564313,0.43464568,None
35,0.34052458,,19.71807,1.8018317,2.3012843,0.14635012,0.114633605,1.5234569,0.40588796,0.36777768,0.35526434,0.36139673,0.8287073,0.3682701,0.80634916,0.18484972,0.10005752,0.33065993,0.16811007,0.28643155,0.2549541,0.49397945,2.759844,0.3206634,2.0308468,0.36847967,0.22802173,0.032095533,0.19729635,0.16579862,0.8402213,0.38321552,0.37278372,inf,inf,1.0395786,10.010117,1.5508007,1.5508007,0.23665689,0.5120506,0.5120506,0.22505184,0.42481825,0.46168405,0.82053745,0.45187685,AVARAGE
50,0.29471222,,16.716225,1.7072861,2.3051515,0.17876881,0.10339082,1.5537372,0.3896567,0.35468498,0.30419984,0.3113967,0.7398559,0.3367298,0.79779184,0.21116485,0.07381445,0.26904652,0.13843873,0.24323273,0.17770481,0.4115664,2.2459745,0.28205088,1.8325087,0.32164833,0.16402432,0.050942414,0.18920667,0.20416325,0.94377685,0.2785306,0.31700534,inf,inf,0.8844319,6.562062,1.2350811,1.2350811,0.2240933,0.43280706,0.43280706,0.2265823,0.36870277,0.36867625,0.88741535,0.4082152,UNHEALTHY
223,0.43671054,,25.656744,2.557436,1.7352369,0.13713324,0.10485993,inf,0.47996953,0.39274743,0.46691525,0.46864355,1.289631,0.39170456,0.8244932,0.15622398,0.120962806,0.42585817,0.19316776,0.3828256,0.27786845,0.75610006,3.6166012,0.40751678,2.5116353,0.49764997,0.28311622,0.038488645,0.27084556,0.3256798,0.8108553,0.43023354,0.4957541,inf,0.36825213,1.546733,21.362839,1.9776928,1.9776928,0.31484938,0.65599936,0.65599936,0.20316952,0.54013413,0.5353587,0.9208675,0.50382483,AVARAGE
119,0.30046973,,17.690393,1.6959907,1.4317989,0.1633222,0.14792742,2.0283833,0.36442482,0.33807892,0.3133011,0.32001474,0.7321122,0.34356654,0.80919355,0.217462,0.095369354,0.26937088,0.14649424,0.25632185,0.2091243,0.40702823,2.1971695,0.2864424,1.8608365,0.341992,0.2175824,0.040610448,0.17973754,0.2819074,1.0091354,0.3093071,0.32751358,inf,inf,0.912218,6.259785,1.5527993,1.5527993,0.21210478,0.45970228,0.45970228,0.2239946,0.37388775,0.37965724,0.7888098,0.41108063,AVARAGE
127,0.43158615,,23.88064,2.698967,2.6564984,0.11655828,0.11627239,0.975925,0.4973985,0.36532113,0.45259658,0.45437667,1.2861601,0.33901545,0.8213043,0.14531608,0.10666949,0.4038685,0.21133637,0.3543729,0.32241833,0.8099104,3.7306778,0.40358895,2.4360955,0.45709935,0.24499051,0.06551034,0.24305323,0.30985928,0.797159,0.44690916,0.4791664,0.44958574,inf,1.5421547,82.71035,1.8256785,1.8256785,0.31530133,0.61251867,0.61251867,0.18855695,0.54273415,0.5434318,0.85152674,0.45432627,AVARAGE
21,0.40001792,,23.01138,2.247943,3.6030855,0.14952734,0.08418957,inf,0.46179333,0.38414788,0.42130756,0.42507505,1.0759938,0.38905406,0.8119923,0.16595921,0.10569194,0.38681456,0.18890817,0.33886483,0.25932217,0.6483254,3.280298,0.3701548,2.2804475,0.4344089,0.24170192,0.052714337,0.2508955,0.21364862,0.79602265,0.38953593,0.44416845,inf,inf,1.3110763,17.18435,1.6968143,1.6968143,0.2826987,0.5925897,0.5925897,0.21360636,0.49880216,0.49726757,0.9449392,0.47762945,AVARAGE
132,0.41509673,,23.664427,2.3678977,2.4637911,0.1301983,0.10922867,inf,0.47444412,0.37587813,0.4351807,0.4388686,1.1310027,0.38877523,0.8156919,0.1497823,0.11529684,0.4041984,0.21238518,0.34678644,0.3101987,0.68781996,3.5247185,0.38031593,2.3467276,0.43581828,0.26816025,0.077723995,0.24753031,0.22565317,0.75962853,0.43193355,0.45982265,inf,inf,1.3857373,26.17483,1.7663403,1.7663403,0.28718704,0.6110806,0.6110806,0.20726709,0.5204858,0.52958184,0.90886134,0.47489455,None
168,0.37840283,,22.566324,1.9351729,2.2290392,0.14087108,0.12124669,1.4000573,0.41185722,0.3789536,0.40187928,0.40636447,0.9562828,0.3980329,0.80626285,0.17953731,0.12717217,0.37426537,0.17919795,0.33143556,0.28371063,0.53835267,3.0210395,0.35758302,2.2140937,0.42609647,0.30033746,0.046051838,0.22000287,0.2191302,0.83590484,0.4191437,0.42338565,inf,inf,1.2229662,12.025661,1.7119809,1.7119809,0.2544986,0.58261347,0.58261347,0.22457208,0.46732157,0.501092,0.8122452,0.490373,AVARAGE
