,ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,2.0733044,-0.33118376,0.095401034,6.028979,0.4384234,0.29157454,0.47462526,0.2172508,0.43376774,2.5474317,0.5396677,0.124365196,0.41037706,0.44622955,-0.3418188,0.41644096,inf,0.44622955,-0.3418188,0.39617607,0.18760392,0.582229,-0.5396677,0.13187136,0.066835135,0.39904088,0.056931518,0.43226722,-0.047832992,0.40662053,0.4741632,0.10746633,0.2782367,0.41578507,0.89107376,4.1104,3.5474317,9.187836,0.55318284,0.42577636,12.170945,0.6052001,0.40257877,0.90266424,0.2460762,0.48361382,18.17043,AVARAGE
1,1.9289515,-0.35456088,0.116505146,6.2771573,0.46342716,0.27271727,0.40886244,0.2112626,0.39398748,2.4170556,0.52123004,0.13347729,0.3122638,0.4050604,-0.39070603,0.37805346,inf,0.4050604,-0.39070603,0.37235194,0.19145502,0.54135644,-0.52123004,0.061912566,0.032592747,0.39827943,0.025889073,0.39577127,-0.02267798,0.37551326,0.48811212,0.12556219,0.27721617,0.37518793,0.9500402,3.7004805,3.4170558,-0.92573,0.60107464,0.3897775,7.663375,0.55463207,0.38092723,0.9598709,0.24017781,0.3996953,16.67992,AVARAGE
2,1.8750101,-0.36268246,0.10296805,5.7882485,inf,0.25180173,0.443657,0.17927778,0.3679367,2.3086274,0.51120776,0.13086691,0.27537167,0.3621197,-0.5667122,0.3536604,inf,0.3621197,-0.5667122,0.37621376,0.17343262,0.5060867,-0.51120776,0.06983216,-0.003408397,0.38296488,0.11511912,0.37397,0.009595267,0.35156643,0.43361744,0.13116738,0.27536386,0.36985192,1.0210847,3.3324883,3.3086274,-0.42635402,-inf,0.3673425,8.526217,0.55819964,0.3514598,0.8029508,0.23083968,0.39068818,15.0963335,AVARAGE
3,1.7282178,-0.37201777,0.11958113,5.4856033,0.43396175,0.2502959,0.42604062,0.1732283,0.35186255,2.1545985,0.48635483,0.15326394,0.25870064,0.3543807,-0.50924116,0.33893827,inf,0.3543807,-0.50924116,0.3518089,0.17037351,0.48013535,-0.48635483,0.07054334,-0.002349904,0.4074351,0.11476891,0.35419512,0.01196501,0.33892718,0.42640093,0.1571392,0.29841286,0.34569803,1.0202231,3.2182162,3.1545985,-0.023574868,0.7449067,0.35111248,5.808571,0.53665525,0.34491292,0.8059906,0.23133479,0.3528309,14.862744,AVARAGE
4,2.0301409,-0.34583825,0.10908028,5.7655387,inf,0.27862364,0.44304138,0.2012893,0.4031263,2.5041773,0.5280953,0.13325895,0.31915087,0.40387195,-0.46558127,0.38807416,inf,0.40387195,-0.46558127,0.385244,0.1868873,0.5311916,-0.5280953,0.06910369,0.010387681,0.41014498,0.08188968,0.3988474,0.00093171844,0.3806263,0.4740442,0.13154025,0.28681663,0.36818054,1.0018611,3.6523054,3.5041773,-0.60625637,-inf,0.39748073,11.077727,0.5696396,0.3856235,0.85626096,0.23830117,0.43106127,16.785032,AVARAGE
5,2.146283,-0.3425413,0.09433126,6.5155087,inf,0.27384812,0.46965736,0.20165592,0.41180298,2.6480997,0.5437136,0.119265005,0.3508106,0.40604618,-0.48287147,0.3959941,inf,0.40604618,-0.48287147,0.3954976,0.19644015,0.5655964,-0.5437136,0.10219852,0.03933638,0.38558513,0.07067748,0.41527602,-0.019660734,0.38929716,0.50182474,0.11174993,0.26439035,0.38264197,0.9464468,4.0360746,3.6480997,0.7625612,-inf,0.4057902,9.191585,0.59717125,0.3777632,0.875962,0.22002202,0.4478685,16.730715,AVARAGE
6,1.8432077,-0.35388592,0.13486524,5.03597,inf,0.27798438,0.40056336,0.20384665,0.3852181,2.3050296,0.5019339,0.15545224,0.28566644,0.3932137,-0.42382064,0.3714141,inf,0.3932137,-0.42382064,0.35997844,0.18256648,0.49346477,-0.5019339,0.03880387,-0.0056390823,0.43795013,0.07078658,0.37537968,0.019905396,0.36595273,0.46182984,0.15997997,0.31035423,0.3378162,1.0350196,3.3419116,3.3050296,-0.13180803,-inf,0.38010085,6.878665,0.53045624,0.37854433,0.881337,0.2413625,0.4006458,16.497097,AVARAGE
7,2.1195219,-0.34912753,0.10008458,6.295799,inf,0.2733197,0.4709595,0.19181919,0.39726445,2.6055005,0.53651553,0.12888266,0.31474862,0.39338017,-0.47610253,0.38151264,inf,0.39338017,-0.47610253,0.39375573,0.18983994,0.53555024,-0.53651553,0.077155694,0.0015683073,0.40231398,0.11463721,0.39727092,0.009390668,0.37747154,0.48597836,0.12900297,0.28123805,0.36988562,1.0255872,3.6510003,3.6055005,-1.8484055,-inf,0.39264575,7.7323446,0.58527964,0.37376085,0.80622774,0.23178257,0.4280949,16.393848,AVARAGE
8,2.0023108,-0.34136644,0.11930506,5.091608,inf,0.30071303,0.46462694,0.20065638,0.4123261,2.4628856,0.51334333,0.15802817,0.33851603,0.43061605,-0.30358857,0.39747155,inf,0.43061605,-0.30358857,0.37556684,0.18118374,0.5155291,-0.51334333,0.09075677,0.008557647,0.4602581,0.12113214,0.3955138,0.0034969293,0.38802186,0.46059763,0.15955985,0.32683778,0.36207187,1.0172281,3.5948212,3.462886,-0.4739545,-inf,0.4037845,4.475692,0.57150865,0.40527812,0.797856,0.2591925,0.43066475,17.980627,AVARAGE
9,2.2122438,-0.33109593,0.115256324,5.807152,inf,0.31596035,0.46200058,0.22027455,0.43907622,2.7268496,0.5429238,0.14286827,0.3667033,0.4600167,-0.1940029,0.4216258,inf,0.4600167,-0.1940029,0.39357814,0.19943403,0.55157304,-0.5429238,0.077158004,0.017955467,0.45559198,0.078584716,0.42032886,-0.006509879,0.41072962,0.51460546,0.13963675,0.31149235,0.36927834,0.99172044,3.9340713,3.7268496,0.55513066,-inf,0.42737064,8.805319,0.58779603,0.43571278,0.86523557,0.2562668,0.46295807,19.086576,AVARAGE
