,ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,2.3619964,-0.24828514,0.06457796,4.889857,,0.42491323,0.67754275,0.2905019,0.6275179,2.81312,0.55192405,0.14530486,1.2555014,0.7204024,0.76564074,0.60396034,inf,0.7204024,0.76564074,0.421098,0.17923446,0.732757,-0.55192405,0.5453971,0.3188132,0.5006226,0.10482603,0.5694231,-0.1940481,0.5569737,0.45121583,0.07572321,0.34879035,0.5343029,0.5302185,7.5936947,3.813074,-4.092904,,0.58340985,-23.764196,0.75338423,0.5435226,0.8670004,0.15388204,0.6818788,28.277227,AVARAGE
1,2.0558364,-0.25365645,0.063700356,4.461712,0.3304558,0.40965542,0.67370373,0.28408194,0.61147606,2.4702804,0.52788717,0.14909095,1.1910709,0.70952153,0.62973195,0.590352,-inf,0.70952153,0.62973195,0.40023124,0.16816734,0.73104113,-0.52788717,0.57712966,0.33932135,0.48206824,0.101352386,0.5634888,-0.21780644,0.5446668,0.4144705,0.07241285,0.34264505,0.55421484,0.5004809,7.141812,3.470241,1.6007481,0.40450194,0.5727346,-24.559147,0.75003356,0.51407075,0.8608592,0.20508902,0.6721466,27.646448,AVARAGE
2,1.6875275,-0.24236488,0.114707105,3.0473409,0.2895058,0.47423515,0.5510065,0.36812288,0.6549445,2.0279891,0.48088682,0.20349506,1.3634151,0.8488499,1.6327866,0.6215417,0.43521416,0.8488499,1.6327866,0.36864716,0.14210173,0.7084533,-0.48088682,0.4692057,0.3523675,0.57135123,-0.08128508,0.5693418,-0.24012852,0.57855994,0.3404885,0.09711604,0.43061978,0.57820517,0.4832326,6.383743,3.027957,1.3467003,0.65386325,0.604476,-10.73024,0.6840613,0.5740236,1.1923873,0.3467973,0.66369903,32.709267,AVARAGE
3,1.801181,-0.24639885,0.10396271,3.4944172,-inf,0.45773456,0.56114817,0.3538137,0.6450322,2.1435444,0.4855474,0.19096743,1.4358654,0.82110494,1.4956131,0.6133384,0.42893428,0.82110494,1.4956131,0.37617266,0.14173283,0.7181239,-0.4855474,0.4868575,0.36590782,0.5448635,-0.09175032,0.56864077,-0.24359852,0.57071376,0.34243232,0.08713588,0.4100919,0.5851416,0.47153926,6.8686004,3.1435118,2.2897184,inf,0.5959978,-20.234854,0.6925435,0.55256265,1.2159525,0.28049245,0.6654582,31.616917,AVARAGE
4,1.9528085,-0.24939781,0.100101575,3.8355327,,0.434931,0.56117654,0.3358259,0.6281388,2.3235075,0.5048941,0.17410213,1.3223683,0.7624916,1.0143418,0.60284066,0.46435782,0.7624916,1.0143418,0.38993734,0.15200816,0.7132218,-0.5048941,0.45361114,0.34257272,0.52170426,-0.08348618,0.5619219,-0.21908195,0.5568773,0.37076014,0.08678727,0.38473976,0.5603883,0.49781778,6.9833355,3.3234327,5.027272,,0.58333063,-22.825489,0.69214326,0.5384101,1.1952419,0.22969824,0.66559005,29.587614,AVARAGE
5,1.9112408,-0.26676774,0.08331657,4.2590804,0.2919126,0.38458255,0.5708711,0.29494172,0.57919174,2.2487671,0.50076413,0.15184952,1.189349,0.67275244,0.46902895,0.5596009,-inf,0.67275244,0.46902895,0.39391053,0.14052658,0.7070074,-0.50076413,0.46332258,0.333981,0.46017978,-0.053117454,0.5415175,-0.21454525,0.51942456,0.3375846,0.07559724,0.34545392,0.5768022,0.50631744,6.691431,3.2487667,0.392951,0.42389333,0.5462273,-22.033733,0.694132,0.47745624,1.1204826,0.20238875,0.6429213,26.125431,AVARAGE
6,1.9046084,-0.25126728,0.09467803,3.8880937,0.27289426,0.42678112,0.57043695,0.32757834,0.6209324,2.2215075,0.4982334,0.1726242,1.383837,0.7546922,0.9539202,0.59616,inf,0.7546922,0.9539202,0.3969866,0.13282369,0.71761423,-0.4982334,0.47832614,0.3522296,0.50958014,-0.07325765,0.5613439,-0.22423582,0.55265915,0.3168787,0.08279896,0.39053506,0.59589887,0.4859986,6.838215,3.2214358,1.8066607,0.4539806,0.57886934,-17.419205,0.6984455,0.5233621,1.1679064,0.2280077,0.667198,29.199879,AVARAGE
7,1.6574371,-0.25528216,0.11778594,3.1721504,-inf,0.44826674,0.52443224,0.35869858,0.6243271,1.9180886,0.4599813,0.20346147,1.4269726,0.8110211,1.4400109,0.59367466,-inf,0.8110211,1.4400109,0.3732842,0.1111079,0.6908935,-0.4599813,0.451408,0.3484633,0.5456016,-0.098083004,0.55027425,-0.23583105,0.5548315,0.2607027,0.09734839,0.43637496,0.61368114,0.4900417,6.146661,2.9180593,2.118289,inf,0.57949674,-9.731933,0.6608124,0.5357961,1.2276483,0.3232019,0.6305762,31.139717,AVARAGE
8,1.7743622,-0.24981804,0.098240785,3.565318,0.27589834,0.4402462,0.57549345,0.33153945,0.62834525,2.0998437,0.48454493,0.18758626,1.3561383,0.78892696,1.1995072,0.60111046,0.40651596,0.78892696,1.1995072,0.3786779,0.1363088,0.71326023,-0.48454493,0.49930102,0.3580303,0.5284912,-0.05856777,0.5618909,-0.2380012,0.5584295,0.32551914,0.088244975,0.40322372,0.58957475,0.47764862,6.627352,3.0998108,0.74866664,0.56247723,0.58458585,-15.09152,0.69802004,0.5321346,1.130954,0.2863652,0.6636449,30.388424,AVARAGE
9,1.8828485,-0.26355115,0.09302182,3.9969509,-inf,0.4086143,0.55941695,0.31246418,0.5959295,2.2227595,0.49534383,0.1657429,1.220705,0.71663964,0.80035347,0.57155776,0.43557853,0.71663964,0.80035347,0.38744354,0.14089632,0.6998057,-0.49534383,0.44693458,0.32562253,0.4921313,-0.05601446,0.5437479,-0.2152549,0.53227544,0.34002525,0.083529495,0.36931595,0.5723414,0.516318,6.492193,3.2227252,-0.18575333,inf,0.5580095,-22.022663,0.6853733,0.5058166,1.1285883,0.23667938,0.63401157,27.804646,AVARAGE
10,2.0683742,-0.26342428,0.07936794,4.600264,inf,0.39451233,0.5914135,0.29465392,0.58997,2.4105747,0.51620907,0.14935677,1.2684094,0.6838348,0.56073487,0.5690075,0.4324346,0.6838348,0.56073487,0.40997776,0.1421242,0.7133593,-0.51620907,0.46914196,0.32646927,0.46966678,-0.03009754,0.54753155,-0.20251353,0.5283845,0.34220025,0.075160645,0.3522121,0.578434,0.5167687,6.920715,3.4104996,1.9909618,inf,0.5543575,-17.70999,0.70812935,0.49436444,1.0728544,0.1670952,0.64934886,26.638214,AVARAGE
11,2.0087976,-0.25838935,0.08052039,4.4800205,0.29450604,0.39910436,0.58904326,0.30386886,0.59957546,2.3584611,0.51632243,0.15024367,1.2823575,0.69625396,0.56184906,0.57967645,0.43707225,0.69625396,0.56184906,0.40634626,0.14530993,0.72598,-0.51632243,0.48369244,0.34663466,0.47143537,-0.054737706,0.5567608,-0.21535742,0.5360502,0.34969667,0.07233105,0.35086098,0.58383656,0.49211025,7.072199,3.358425,0.63884956,0.36492306,0.56316894,-20.661156,0.71252525,0.4968411,1.1239277,0.17898357,0.66248363,27.062767,AVARAGE
12,1.7820727,-0.2606488,0.09933315,3.833287,0.2770591,0.406582,0.5420058,0.32674015,0.59597313,2.103137,0.48683655,0.17083442,1.2189054,0.7224501,0.73525566,0.5736917,0.404649,0.7224501,0.73525566,0.38250777,0.13410413,0.7055971,-0.48683655,0.44475433,0.34036762,0.4896139,-0.087753706,0.54762053,-0.22769663,0.5327627,0.3211138,0.08303191,0.37407398,0.59117264,0.49742657,6.383426,3.1031368,2.1474092,0.52757496,0.5603956,-17.748951,0.67903715,0.49627748,1.2047716,0.26835674,0.64693916,27.907022,AVARAGE
13,1.9168981,-0.26516485,0.081329666,4.6068287,0.30620918,0.3866794,0.58276004,0.30124226,0.58391535,2.2911754,0.5045574,0.15362206,1.1545622,0.6845687,0.4914116,0.5654892,0.47636542,0.6845687,0.4914116,0.38666454,0.15303117,0.7230723,-0.5045574,0.4854237,0.3488558,0.45841008,-0.05607142,0.5491826,-0.23303662,0.52451086,0.37428817,0.07173073,0.33719158,0.57522863,0.4902404,6.870551,3.291139,-0.4894541,0.44325772,0.5516859,-16.657759,0.70696646,0.4739542,1.1358737,0.22778577,0.6336161,26.476416,AVARAGE
14,1.9918762,-0.291294,0.06598963,5.564393,0.33150876,0.31933436,0.58467454,0.25065714,0.5140709,2.3968592,0.5142485,0.12240203,0.9050763,0.55328125,-0.1472663,0.50171334,-inf,0.55328125,-0.1472663,0.38911846,0.16393155,0.7067923,-0.5142485,0.4571332,0.31657213,0.38183904,-0.025123335,0.51525736,-0.20864165,0.47191393,0.40509114,0.06250471,0.27333596,0.5423401,0.5314815,6.7481785,3.3968592,-2.1239777,0.37747598,0.4959232,-12.396596,0.70157915,0.400261,1.0667185,0.17102556,0.5976736,21.555952,AVARAGE
15,1.6188707,-0.2710108,0.109312624,3.5123913,0.28352872,0.39765364,0.5099666,0.32932562,0.57736456,1.9490223,0.4620355,0.18143156,1.1431142,0.7159719,0.8283017,0.5540244,0.42966765,0.7159719,0.8283017,0.35318616,0.13734758,0.68202204,-0.4620355,0.4229227,0.33415863,0.48719373,-0.10405451,0.5295304,-0.23549156,0.518485,0.33016816,0.089540094,0.37013704,0.56397444,0.5080175,6.08355,2.9489899,-0.13096559,0.6227894,0.54306644,-16.461096,0.6499404,0.47781193,1.245472,0.29732266,0.6170372,27.534876,
16,1.7025713,-0.24165203,0.116045505,3.2434518,0.296694,0.46359155,0.5309237,0.38021475,0.65121996,2.0541134,0.48514703,0.19570224,1.3663582,0.8334901,1.4736645,0.6203524,0.44301608,0.8334901,1.4736645,0.36963767,0.14622918,0.72169906,-0.48514703,0.45309108,0.3674576,0.55293596,-0.13256092,0.57402116,-0.24952622,0.57579607,0.3516037,0.08934441,0.413911,0.58450735,0.4656472,6.623071,3.0541134,1.3612818,0.59641486,0.6031307,-18.329449,0.6806632,0.5584697,1.3143203,0.3267412,0.67589605,32.069805,AVARAGE
17,1.8878361,-0.25039455,0.0970042,3.8165336,0.2886847,0.43079588,0.55521935,0.33908823,0.6259145,2.2301395,0.500479,0.16983606,1.3614252,0.7609775,0.98978513,0.6000608,0.42807853,0.7609775,0.98978513,0.39166012,0.14237688,0.72220683,-0.500479,0.46133867,0.3565832,0.51048356,-0.102307476,0.56482416,-0.22977398,0.55484945,0.3423417,0.079687685,0.38238248,0.58867663,0.48009035,6.9340696,3.23014,5.006299,0.4526343,0.58286226,-26.333998,0.69365954,0.5293502,1.2399608,0.2305355,0.6677959,29.453688,AVARAGE
18,1.8679935,-0.25416255,0.08608216,3.9634078,0.27657655,0.4133826,0.5770783,0.31878248,0.61276126,2.1948855,0.49775222,0.1618025,1.3745992,0.73299515,0.7909663,0.5897654,-inf,0.73299515,0.7909663,0.3928158,0.13696893,0.7269126,-0.49775222,0.5012935,0.3686043,0.48690027,-0.079663076,0.5620242,-0.23515388,0.54496956,0.32691467,0.07351769,0.36773202,0.60015154,0.4672595,7.0649805,3.1948502,1.7875749,0.40457675,0.57314754,-27.356033,0.70526433,0.5058187,1.1836619,0.20190154,0.66863847,28.334347,AVARAGE
19,1.9589436,-0.2576796,0.08249215,4.3598423,0.3098222,0.3955954,0.5837903,0.30347353,0.5957734,2.3291104,0.5154905,0.15151535,1.2024394,0.6905482,0.5037497,0.57647055,-inf,0.6905482,0.5037497,0.39868218,0.15311319,0.7249608,-0.5154905,0.4755542,0.34453142,0.4696166,-0.05991326,0.555833,-0.21878546,0.5327538,0.37014055,0.07402121,0.34526783,0.5726226,0.4936488,6.9705353,3.3290334,1.9297614,0.41037795,0.56114596,-25.321829,0.71015126,0.49242514,1.1368184,0.20564656,0.66943586,26.83549,AVARAGE
